ccf_ap	ccf_dv	ccf_lr	allen_ontology
9047.7	1538	3817.6	POST
9062.2	1518.2	3863.4	POST
9050.8	1518.2	3833.6	POST
9053.8	1498.4	3849.5	VISpm
9042.4	1498.4	3819.6	VISpm
9056.9	1478.6	3865.5	VISpm
9045.4	1478.6	3835.6	VISpm
9048.5	1458.8	3851.6	VISpm
9037	1458.8	3821.7	VISpm
9051.6	1439	3867.5	VISpm
9040.1	1439	3837.7	VISpm
9043.1	1419.2	3853.6	VISpm
9031.7	1419.2	3823.7	VISpm
9046.2	1399.4	3869.6	VISpm
9034.7	1399.4	3839.7	VISpm
9037.8	1379.6	3855.7	VISpm
9026.3	1379.6	3825.8	VISpm
9040.9	1359.8	3871.6	VISpm
9029.4	1359.8	3841.8	VISpm
9032.5	1340	3857.7	VISpm
9021	1340	3827.8	VISpm
9035.5	1320.2	3873.7	VISpm
9024.1	1320.2	3843.8	VISpm
9027.1	1300.4	3859.8	VISpm
9015.6	1300.4	3829.9	VISpm
9030.2	1280.6	3875.7	VISpm
9018.7	1280.6	3845.9	VISpm
9010.3	1260.8	3832	VISpm
9024.8	1241	3877.8	VISpm
9013.4	1241	3847.9	VISpm
9016.4	1221.3	3863.9	VISpm
9005	1221.3	3834	VISpm
9019.5	1201.5	3879.8	VISpm
9008	1201.5	3850	VISpm
9011.1	1181.7	3865.9	VISpm
8999.6	1181.7	3836.1	VISpm
9014.1	1161.9	3881.9	VISpm
9002.7	1161.9	3852	VISpm
9005.7	1142.1	3868	VISpm
8994.3	1142.1	3838.1	VISpm
9008.8	1122.3	3883.9	VISpm
8997.3	1122.3	3854.1	VISpm
9000.4	1102.5	3870	VISpm
8988.9	1102.5	3840.2	VISpm
9003.5	1082.7	3886	VISpm
8992	1082.7	3856.1	VISpm
8995	1062.9	3872.1	VISpm
8983.6	1062.9	3842.2	VISpm
8998.1	1043.1	3888	VISpm
8986.6	1043.1	3858.2	VISpm
8989.7	1023.3	3874.1	VISpm
8978.2	1023.3	3844.3	VISpm
8992.8	1003.5	3890.1	VISpm
8981.3	1003.5	3860.2	VISpm
8984.4	983.7	3876.2	VISpm
8972.9	983.7	3846.3	VISpm
8987.4	963.9	3892.1	VISpm
8976	963.9	3862.3	VISpm
8979	944.1	3878.2	VISpm
8967.6	944.1	3848.4	VISpm
8982.1	924.3	3894.2	VISpm
8970.6	924.3	3864.3	VISpm
8973.7	904.5	3880.3	VISpm
8962.2	904.5	3850.4	VISpm
8976.7	884.8	3896.3	VISpm
8968.3	865	3882.3	VISpm
8956.9	865	3852.5	VISpm
8971.4	845.2	3898.3	VISpm
8959.9	845.2	3868.4	VISpm
8963	825.4	3884.4	VISpm
8951.5	825.4	3854.5	VISpm
8966	805.6	3900.4	VISpm
8954.6	805.6	3870.5	VISpm
8957.6	785.8	3886.4	VISpm
8946.2	785.8	3856.6	VISpm
8960.7	766	3902.4	VISpm
8949.2	766	3872.5	VISpm
8952.3	746.2	3888.5	VISpm
8940.8	746.2	3858.6	VISpm
8955.4	726.4	3904.5	VISpm
8943.9	726.4	3874.6	VISpm
8947	706.6	3890.5	VISpm
8935.5	706.6	3860.7	VISpm
8950	686.8	3906.5	VISpm
8938.5	686.8	3876.6	VISpm
8941.6	667	3892.6	VISpm
8930.1	667	3862.7	VISpm
8944.7	647.2	3908.6	VISpm
8933.2	647.2	3878.7	VISpm
8936.3	627.4	3894.6	VISpm
8924.8	627.4	3864.8	VISpm
8939.3	607.6	3910.6	VISpm
8927.9	607.6	3880.7	VISpm
8930.9	587.8	3896.7	VISpm
8919.5	587.8	3866.8	VISpm
8934	568	3912.7	VISpm
8922.5	568	3882.8	VISpm
8925.6	548.3	3898.8	VISpm
8914.1	548.3	3868.9	VISpm
8928.6	528.5	3914.7	VISpm
8917.2	528.5	3884.8	VISpm
8908.8	508.7	3870.9	VISpm
8923.3	488.9	3916.8	VISpm
8911.8	488.9	3886.9	VISpm
8914.9	469.1	3902.9	VISpm
8903.4	469.1	3873	VISpm
8918	449.3	3918.8	VISpm
8906.5	449.3	3888.9	VISpm
8909.5	429.5	3904.9	VISpm
8898.1	429.5	3875	VISpm
8912.6	409.7	3920.9	VISpm
8901.1	409.7	3891	VISpm
8904.2	389.9	3907	VISpm
8892.7	389.9	3877.1	VISpm
8907.3	370.1	3922.9	VISpm
8895.8	370.1	3893	VISpm
8898.9	350.3	3909	VISpm
8887.4	350.3	3879.1	VISpm
8901.9	330.5	3925	VISpm
8890.5	330.5	3895.1	VISpm
8893.5	310.7	3911.1	VISpm
8882	310.7	3881.2	VISpm
8896.6	290.9	3927	VISpm
8885.1	290.9	3897.1	root
8888.2	271.1	3913.1	root
8876.7	271.1	3883.2	root
8891.2	251.3	3929.1	root
8879.8	251.3	3899.2	root
8882.8	231.5	3915.2	root
8871.4	231.5	3885.3	root
8885.9	211.7	3931.1	root
8874.4	211.7	3901.2	root
8877.5	192	3917.2	root
8866	192	3887.3	root
8880.5	172.2	3933.2	root
8869.1	172.2	3903.3	root
8872.1	152.4	3919.3	root
8860.7	152.4	3889.4	root
8875.2	132.6	3935.2	root
8866.8	112.8	3921.3	root
8855.3	112.8	3891.4	root
8869.9	93	3937.3	root
8858.4	93	3907.4	root
